reactionid,equation,flux
R1535,R1535: CERB2B_c + udpgal_c --> GALCERB_c + udp_c,3.160737376981274e-05
R1536_num1,R1536_num1: C191SPH_c + stcoa_c --> CEREB1_c + coa_c + h_c,6.900824358953248e-05
R1537,R1537: CEREB1_c + udpg_c --> GLUCER1_c + udp_c,6.900824358953247e-05
R1538_num1,R1538_num1: C191SPH_c + ocdce9coa_c --> CEREB2_c + coa_c + h_c,6.917947992598293e-05
R1539,R1539: CEREB2_c + udpg_c --> glusideho_c_c + udp_c,6.917947992598293e-05
R1543,R1543: val__L_m --> val__L_c,0.06110283272340324
R1566,R1566: g6p_c --> f6p_c,6.726047105608427
R1568,R1568: g6p_c + udpg_c --> h_c + tre6p_c + udp_c,0.06478441395708796
R1569,R1569: h2o_c + tre6p_c --> pi_c + tre_c,0.06478441395708796
R1583,R1583: udpg_c --> 13GLUCAN_c + udp_c,0.1804260198399604
R1584,R1584: udpg_c --> 14GLUCAN_c + udp_c,0.025745383185325578
R1598_num1,R1598_num1: Glc_aD_c + atp_c --> adp_c + g6p_c + h_c,1.8673807131741997
R1603,R1603: Ssq23epx_c --> lanost_c,0.009983078415061398
R1604,R1604: 2.0 h_c + lanost_c + 3.0 nadph_c + 3.0 o2_c --> DCTOL_c + for_c + 4.0 h2o_c + 3.0 nadp_c,0.009983078415061396
R1605,R1605: DCTOL_c + h_c + nadph_c --> DCDOL_c + nadp_c,0.009983078415061396
R1606,R1606: DCDOL_c + 2.0 h_c + 3.0 nadph_c + 3.0 o2_c --> DCDA_c + 4.0 h2o_c + 3.0 nadp_c,0.009983078415061396
R1607,R1607: DCDA_c + nadp_c --> CDOL_c + co2_c + nadph_c,0.009983078415061396
R1608,R1608: amet_c + zymst_c --> ahcys_c + fecost_c + h_c,0.009983078415061396
R1609,R1609: fecost_c --> epist_c,0.009983078415061396
R1610,R1610: epist_c --> DEHYD_c + 2.0 h_c,0.009983078415061394
R1611,R1611: DEHYD_c + nadph_c --> ergtetrol_c + 3.0 h_c + nadp_c,0.009983078415061394
R1632,R1632: 2.0 frdp_c + h_c + nadph_c --> nadp_c + 2.0 ppi_c + sql_c,0.009983078415061398
R1658,R1658: g6p_c --> mi3p__D_c,0.015600731871067412
R1664,R1664: 5.0 h_c + 3.0 nadph_c + so3_c --> 3.0 h2o_c + h2s_c + 3.0 nadp_c,0.004138211464219277
R1665,R1665: paps_c + trdrd_c --> 2.0 h_c + pap_c + so3_c + trdox_c,0.004138211464219277
R1680,R1680: aacoa_c + accoa_c + h2o_c --> H3MCOA_c + coa_c + h_c,0.05989847049036838
R1690_num1,R1690_num1: H3MCOA_c + 2.0 h_c + 2.0 nadph_c --> coa_c + mev__R_c + 2.0 nadp_c,0.05989847049036838
R1691_num1,R1691_num1: atp_c + mev__R_c --> 5pmev_c + adp_c + h_c,0.05989847049036837
R1692,R1692: 5pmev_c + atp_c --> 5dpmev_c + adp_c,0.05989847049036839
R1693,R1693: 5dpmev_c + atp_c --> adp_c + co2_c + ipdp_c + pi_c,0.05989847049036838
R1694,R1694: ipdp_c --> dmpp_c,0.019966156830122792
R1710,R1710: h2o_c + mnl1p_c --> mnl_c + pi_c,0.014298234093612805
R1818,R1818: 34hpp_c + glu__L_c --> akg_c + tyr__L_c,0.0067067565109760665
R1822,R1822: ACLAC_m + h_m + nadph_m --> 23dhmb_m + nadp_m,0.1749179176841375
R1823_num1,R1823_num1: 3c3hmp_m --> 2ippm_m + h2o_m,0.11381508496073428
R1824_num1,R1824_num1: 2ippm_m + h2o_m --> 3c2hmp_m,0.11381508496073427
R1825,R1825: 3c2hmp_m + nad_m --> 3c4mop_m + h_m + nadh_m,0.11381508496073427
R1830_num1,R1830_num1: h_m + 2.0 pyr_m --> ACLAC_m + co2_m,0.1749179176841375
R1831_num1,R1831_num1: 2obut_m + h_m + pyr_m --> 2ahbut_m + co2_m,0.05739271210031009
R1836,R1836: 3mob_m + accoa_m + h2o_m --> 3c3hmp_m + coa_m + h_m,0.11381508496073428
R1864,R1864: 4mop_c + glu__L_c --> akg_c + leu__L_c,0.11381508496073427
R1865_num1,R1865_num1: 3mop_m + glu__L_m --> akg_m + ile__L_m,0.05739271210031009
R1868_num1,R1868_num1: 3mob_m + glu__L_m --> akg_m + val__L_m,0.06110283272340324
R1869,R1869: udpg_c --> PSNIG_c + udp_c,0.02230353282267148
R1870,R1870: udpg_c --> NIG_c + udp_c,0.016809700361552785
R1871,R1871: DMIPC_c + udpgal_c --> GDMIPC_c + h_c + udp_c,2.8214040369152938e-05
