	log2FoldChange	pvalue
MYCTH_2295315	0.578307107	0.007525899
MYCTH_2295317	-0.178360701	0.813312726
MYCTH_2295321	-1.714987141	0.000201484
MYCTH_2295324	0.042871661	0.843264747
MYCTH_2122524	0	1
MYCTH_99077	1.581922816	1.81851E-09
MYCTH_2055981	-1.213854357	2.8589E-05
MYCTH_2295331	0.088726292	0.689992666
MYCTH_62593	0.521019498	0.002543582
MYCTH_2295337	-0.526466915	0.690432345
MYCTH_2039088	0.966916354	0.327549814
MYCTH_2295338	-0.621530709	0.475932125
MYCTH_2295344	-1.05181332	3.8449E-06
MYCTH_2295346	-1.199185847	6.44581E-13
MYCTH_2295347	-0.138647448	0.410525502
MYCTH_2122535	-0.308795458	0.764030342
MYCTH_2295350	1.719582757	1.53446E-16
MYCTH_2295353	1.314956269	1.8292E-09
